data_type,id,symbol,name,timeframe,timestamp,open,high,low,close,volume
top_cryptos,bitcoin,btc,Bitcoin,,,,,,,
top_cryptos,ethereum,eth,Ethereum,,,,,,,
top_cryptos,tether,usdt,Tether,,,,,,,
top_cryptos,ripple,xrp,XRP,,,,,,,
top_cryptos,solana,sol,Solana,,,,,,,
top_cryptos,binancecoin,bnb,BNB,,,,,,,
top_cryptos,usd-coin,usdc,USDC,,,,,,,
top_cryptos,dogecoin,doge,Dogecoin,,,,,,,
top_cryptos,cardano,ada,Cardano,,,,,,,
top_cryptos,staked-ether,steth,Lido Staked Ether,,,,,,,
top_cryptos,tron,trx,TRON,,,,,,,
top_cryptos,wrapped-bitcoin,wbtc,Wrapped Bitcoin,,,,,,,
top_cryptos,chainlink,link,Chainlink,,,,,,,
top_cryptos,wrapped-steth,wsteth,Wrapped stETH,,,,,,,
top_cryptos,avalanche-2,avax,Avalanche,,,,,,,
top_cryptos,sui,sui,Sui,,,,,,,
top_cryptos,stellar,xlm,Stellar,,,,,,,
top_cryptos,the-open-network,ton,Toncoin,,,,,,,
top_cryptos,shiba-inu,shib,Shiba Inu,,,,,,,
top_cryptos,hedera-hashgraph,hbar,Hedera,,,,,,,
top_cryptos,leo-token,leo,LEO Token,,,,,,,
top_cryptos,hyperliquid,hype,Hyperliquid,,,,,,,
top_cryptos,bitget-token,bgb,Bitget Token,,,,,,,
top_cryptos,litecoin,ltc,Litecoin,,,,,,,
top_cryptos,usds,usds,USDS,,,,,,,
top_cryptos,weth,weth,WETH,,,,,,,
top_cryptos,polkadot,dot,Polkadot,,,,,,,
top_cryptos,bitcoin-cash,bch,Bitcoin Cash,,,,,,,
top_cryptos,ethena-usde,usde,Ethena USDe,,,,,,,
top_cryptos,wrapped-eeth,weeth,Wrapped eETH,,,,,,,
top_cryptos,mantra-dao,om,MANTRA,,,,,,,
top_cryptos,uniswap,uni,Uniswap,,,,,,,
top_cryptos,pepe,pepe,Pepe,,,,,,,
top_cryptos,ondo-finance,ondo,Ondo,,,,,,,
top_cryptos,monero,xmr,Monero,,,,,,,
top_cryptos,aave,aave,Aave,,,,,,,
top_cryptos,whitebit,wbt,WhiteBIT Coin,,,,,,,
top_cryptos,near,near,NEAR Protocol,,,,,,,
top_cryptos,mantle,mnt,Mantle,,,,,,,
top_cryptos,official-trump,trump,Official Trump,,,,,,,
top_cryptos,dai,dai,Dai,,,,,,,
top_cryptos,aptos,apt,Aptos,,,,,,,
top_cryptos,internet-computer,icp,Internet Computer,,,,,,,
top_cryptos,ethereum-classic,etc,Ethereum Classic,,,,,,,
top_cryptos,bittensor,tao,Bittensor,,,,,,,
top_cryptos,okb,okb,OKB,,,,,,,
top_cryptos,vechain,vet,VeChain,,,,,,,
top_cryptos,crypto-com-chain,cro,Cronos,,,,,,,
top_cryptos,polygon-ecosystem-token,pol,POL (ex-MATIC),,,,,,,
top_cryptos,gatechain-token,gt,Gate,,,,,,,
top_cryptos,susds,susds,sUSDS,,,,,,,
top_cryptos,algorand,algo,Algorand,,,,,,,
top_cryptos,kaspa,kas,Kaspa,,,,,,,
top_cryptos,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,,,,,,,
top_cryptos,jupiter-exchange-solana,jup,Jupiter,,,,,,,
top_cryptos,render-token,render,Render,,,,,,,
top_cryptos,tokenize-xchange,tkx,Tokenize Xchange,,,,,,,
top_cryptos,arbitrum,arb,Arbitrum,,,,,,,
top_cryptos,cosmos,atom,Cosmos Hub,,,,,,,
top_cryptos,filecoin,fil,Filecoin,,,,,,,
top_cryptos,fetch-ai,fet,Artificial Superintelligence Alliance,,,,,,,
top_cryptos,first-digital-usd,fdusd,First Digital USD,,,,,,,
top_cryptos,lombard-staked-btc,lbtc,Lombard Staked BTC,,,,,,,
top_cryptos,ethena,ena,Ethena,,,,,,,
top_cryptos,fasttoken,ftn,Fasttoken,,,,,,,
top_cryptos,binance-peg-weth,weth,Binance-Peg WETH,,,,,,,
top_cryptos,binance-staked-sol,bnsol,Binance Staked SOL,,,,,,,
top_cryptos,raydium,ray,Raydium,,,,,,,
top_cryptos,celestia,tia,Celestia,,,,,,,
top_cryptos,lido-dao,ldo,Lido DAO,,,,,,,
top_cryptos,kucoin-shares,kcs,KuCoin,,,,,,,
top_cryptos,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,,,,,,,
top_cryptos,blockstack,stx,Stacks,,,,,,,
top_cryptos,optimism,op,Optimism,,,,,,,
top_cryptos,solv-btc,solvbtc,Solv Protocol SolvBTC,,,,,,,
top_cryptos,movement,move,Movement,,,,,,,
top_cryptos,immutable-x,imx,Immutable,,,,,,,
top_cryptos,xdce-crowd-sale,xdc,XDC Network,,,,,,,
top_cryptos,rocket-pool-eth,reth,Rocket Pool ETH,,,,,,,
top_cryptos,theta-token,theta,Theta Network,,,,,,,
top_cryptos,injective-protocol,inj,Injective,,,,,,,
top_cryptos,bonk,bonk,Bonk,,,,,,,
top_cryptos,sonic-3,s,Sonic (prev. FTM),,,,,,,
top_cryptos,nexo,nexo,NEXO,,,,,,,
top_cryptos,mantle-staked-ether,meth,Mantle Staked Ether,,,,,,,
top_cryptos,quant-network,qnt,Quant,,,,,,,
top_cryptos,the-graph,grt,The Graph,,,,,,,
top_cryptos,worldcoin-wld,wld,Worldcoin,,,,,,,
top_cryptos,dexe,dexe,DeXe,,,,,,,
top_cryptos,usual-usd,usd0,Usual USD,,,,,,,
top_cryptos,flare-networks,flr,Flare,,,,,,,
top_cryptos,jasmycoin,jasmy,JasmyCoin,,,,,,,
top_cryptos,sei-network,sei,Sei,,,,,,,
top_cryptos,msol,msol,Marinade Staked SOL,,,,,,,
top_cryptos,gala,gala,GALA,,,,,,,
top_cryptos,chain-2,xcn,Onyxcoin,,,,,,,
top_cryptos,the-sandbox,sand,The Sandbox,,,,,,,
top_cryptos,floki,floki,FLOKI,,,,,,,
top_cryptos,eos,eos,EOS,,,,,,,
top_cryptos,ethereum-name-service,ens,Ethereum Name Service,,,,,,,
top_cryptos,tezos,xtz,Tezos,,,,,,,
top_cryptos,virtual-protocol,virtual,Virtuals Protocol,,,,,,,
top_cryptos,bittorrent,btt,BitTorrent,,,,,,,
top_cryptos,iota,iota,IOTA,,,,,,,
top_cryptos,kaia,kaia,Kaia,,,,,,,
top_cryptos,maker,mkr,Maker,,,,,,,
top_cryptos,bitcoin-cash-sv,bsv,Bitcoin SV,,,,,,,
top_cryptos,dogwifcoin,wif,dogwifhat,,,,,,,
top_cryptos,jupiter-staked-sol,jupsol,Jupiter Staked SOL,,,,,,,
top_cryptos,arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),,,,,,,
top_cryptos,flow,flow,Flow,,,,,,,
top_cryptos,neo,neo,NEO,,,,,,,
top_cryptos,solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,,,,,,,
top_cryptos,jito-governance-token,jto,Jito,,,,,,,
top_cryptos,renzo-restaked-eth,ezeth,Renzo Restaked ETH,,,,,,,
top_cryptos,usdd,usdd,USDD,,,,,,,
top_cryptos,pudgy-penguins,pengu,Pudgy Penguins,,,,,,,
top_cryptos,pyth-network,pyth,Pyth Network,,,,,,,
top_cryptos,tether-gold,xaut,Tether Gold,,,,,,,
top_cryptos,ultima,ultima,Ultima,,,,,,,
top_cryptos,aerodrome-finance,aero,Aerodrome Finance,,,,,,,
top_cryptos,spx6900,spx,SPX6900,,,,,,,
top_cryptos,wbnb,wbnb,Wrapped BNB,,,,,,,
top_cryptos,arweave,ar,Arweave,,,,,,,
top_cryptos,mantle-restaked-eth,cmeth,Mantle Restaked ETH,,,,,,,
top_cryptos,curve-dao-token,crv,Curve DAO,,,,,,,
top_cryptos,binance-peg-dogecoin,doge,Binance-Peg Dogecoin,,,,,,,
top_cryptos,axie-infinity,axs,Axie Infinity,,,,,,,
top_cryptos,frax,frax,Frax,,,,,,,
top_cryptos,starknet,strk,Starknet,,,,,,,
top_cryptos,ronin,ron,Ronin,,,,,,,
top_cryptos,usdx-money-usdx,usdx,usdx.money USDX,,,,,,,
top_cryptos,elrond-erd-2,egld,MultiversX,,,,,,,
top_cryptos,decentraland,mana,Decentraland,,,,,,,
top_cryptos,chex-token,chex,CHEX Token,,,,,,,
top_cryptos,helium,hnt,Helium,,,,,,,
top_cryptos,pax-gold,paxg,PAX Gold,,,,,,,
top_cryptos,l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),,,,,,,
top_cryptos,ether-fi-staked-eth,eeth,ether.fi Staked ETH,,,,,,,
top_cryptos,fartcoin,fartcoin,Fartcoin,,,,,,,
top_cryptos,aioz-network,aioz,AIOZ Network,,,,,,,
top_cryptos,pumpbtc,pumpbtc,pumpBTC,,,,,,,
top_cryptos,matic-network,matic,Polygon,,,,,,,
top_cryptos,arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),,,,,,,
top_cryptos,paypal-usd,pyusd,PayPal USD,,,,,,,
top_cryptos,resolv-usr,usr,Resolv USR,,,,,,,
top_cryptos,dydx-chain,dydx,dYdX,,,,,,,
top_cryptos,beam-2,beam,Beam,,,,,,,
top_cryptos,based-brett,brett,Brett,,,,,,,
top_cryptos,conflux-token,cfx,Conflux,,,,,,,
top_cryptos,telcoin,tel,Telcoin,,,,,,,
top_cryptos,chiliz,chz,Chiliz,,,,,,,
top_cryptos,beldex,bdx,Beldex,,,,,,,
top_cryptos,deep,deep,DeepBook,,,,,,,
top_cryptos,zcash,zec,Zcash,,,,,,,
